trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
54,False,"{'a': 0.01, 'e': 0.4515812349225923}",20,0,-12.884159699256454,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.44485806622294116}",20,6,3.3611981324926274,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.43823499246494924}",25,15,-25.78878398237154,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.01, 'e': 0.43171052342907973}",20,0,-122.01522766309935,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.42528319108227414}",20,10,3.196468498795791,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.418951549247639}",25,14,-2.270751652628112,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.4127141732790497}",30,17,3.856996335313873,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.40656965974059917}",20,8,3.7471734182470406,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.40051662609081884}",30,13,-57.84452075341716,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
63,False,"{'a': 0.01, 'e': 0.39455371037160114}",30,2,-59.51895614800559,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 1}",1
64,False,"{'a': 0.01, 'e': 0.38867957090175304}",30,15,-28.237702280300915,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.38289288597511206}",30,21,16.752478249126963,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.37719235356315695}",20,0,30.967730323844325,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.3715766910220457}",25,0,7.23451280375675,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.3660446348040154}",20,6,11.057419246046596,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.3605949401730783}",30,14,-28.476026748957562,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.3552263809249515}",30,6,-43.8433443304255,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 1}",1
71,False,"{'a': 0.01, 'e': 0.3499377491111553}",20,8,8.234562829032898,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.3447278547672202}",30,6,-21.372634623199826,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.3395955256449391}",20,10,14.656892656191324,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.3345396069486076}",25,17,6.21903160473511,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.3295589610751891}",25,2,-22.700545724139584,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.01, 'e': 0.32465246735834974}",20,0,14.702924125670595,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.31981902181630395}",25,4,17.462254114333003,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.3150575369034133}",20,9,4.289833042318924,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.31036694126548503}",30,14,-9.121383031555403,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.30574617949871175}",20,8,16.728380860906864,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.01, 'e': 0.30119421191220214}",30,0,36.8584279424597,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.2967100142940453}",25,0,4.849055372936211,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.2922925776808594}",20,10,21.200505191677266,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.2879409081307703}",30,24,10.622340935930207,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.2836540264997704}",20,9,4.663432293542499,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.27943096822140734}",30,16,-20.983868549825342,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.01, 'e': 0.27527078308975234}",20,15,9.997531165538117,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.2711725350455999}",20,14,12.211789248443115,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.2671353019658504}",30,19,-12.828722889965285,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.2631581754560287}",25,12,24.692934305369022,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.25924026064589156}",30,19,17.290402915909628,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.2553806759880777}",25,8,34.05724555828856,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.2515785530597565}",25,6,30.061635170416494,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
